market_value,name
€1.05bn,Manchester City
€1.04bn,Chelsea FC
€931.00m,Liverpool FC
€803.00m,Arsenal FC
€759.20m,Manchester United
€711.30m,Tottenham Hotspur
€474.40m,Newcastle United
€471.50m,West Ham United
€455.10m,Leicester City
€445.80m,Aston Villa
€393.70m,Wolverhampton Wanderers
€387.50m,Southampton FC
€368.10m,Everton FC
€332.65m,Nottingham Forest
€309.20m,Crystal Palace
€308.60m,Brighton & Hove Albion
€305.10m,Brentford FC
€295.00m,Leeds United
€245.50m,Fulham FC
€226.70m,AFC Bournemouth
